Production,Captures,Fish-Consumption,Price
0,1800.000000,9.400000,1800
0,1900.000000,6.400000,1900
0,1600.000000,7.950000,1600
0,1618.000000,7.870000,1618
0,1603.000000,7.190000,1603
0,1613.000000,7.940000,1613
0,3082.000000,8.160000,3082
0,2808.000000,7.890000,2808
0,2554.000000,7.170000,2554
0,2066.000000,8.410000,2066
0,2252.000000,7.670000,2252
0,2288.000000,8.030000,2288
0,2641.000000,8.450000,2641
15.000000,35275.000000,9.900000,35275
11.000000,36360.000000,10.160000,36360
15.000000,38738.000000,10.630000,38738
14.000000,41889.000000,10.530000,41889
80.000000,37266.000000,9.210000,37266
7.000000,40663.000000,8.520000,40663
7.000000,41648.000000,9.450000,41648
7.000000,39988.000000,8.880000,39988
350.000000,31497.000000,9.910000,31497
415.000000,41507.000000,12.440000,41507
178.000000,36386.000000,12.780000,36386
213.000000,37495.000000,14.300000,37495
308.000000,38928.000000,13.340000,38928
364.000000,39791.000000,13.390000,39791
400.000000,38848.000000,13.160000,38848
500.000000,40364.000000,12.790000,40364
667.000000,42416.000000,13.340000,42416
1425.000000,47583.000000,20.100000,47583
4459.660156,36477.000000,19.000000,36477
