"Country","Country Code","Indicator","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Montenegro","MNE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1524.80004882813","1131","1680","1661.19995117188","1345.40002441406","1517.59997558594","1390.59997558594","1580.5","1556.40002441406","1486.80004882813","1595","1079.69995117188","1292.80004882813","","",
"Mongolia","MNG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","250","250","280","280","290","290","290","300","300","300","300","300","300","300","300","300","265","494","537","346","262","184","347","370","374","412","383","281","254","124","100","120","165","184","158","221","180","311","524","425","290","263","382","305","366","326","185","88","90","100","80","61","55","49","63","15","22","25","","",
"Northern Mariana Islands","MNP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","100","150","150","150","150","200","200","200","200","200","150","150","150","150","150","150","150","150","150","145","143","143","98","245","345","241","311","218","227","258","175","133","153","147","178","193","249","264","255","192","336","406","296","172","169","214","221","219","168","192","243","186","222","942","1169","1082","1022","1041","1154","","",
"Mozambique","MOZ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","13400","12800","12800","13500","13900","16200","17300","17000","17700","19000","20100","22900","22900","26300","28660","25490","27900","26950","25940","28630","33850","40630","38180","40940","34947","36326","42678","40788","36433","31167","35182","29820","27117","26479","24704","30396","38749","43139","36263","38611","42248","37033","45507","93034","90588","85319","95903","92802","122221","150780","166004","212338","217930","244078","263804","297878","328607","413429","367144","","",
"Mauritania","MRT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","20000","22000","23000","23000","23000","25000","27000","30700","37000","43000","49570","58925","36291","33190","43697","33921","33834","37897","41467","24541","21598","58779","56288","81600","57676","66277","76614","88397","77666","76000","66000","67637","66054","59452","53746","56147","63324","74127","98043","104527","114456","140142","156131","199650","270733","304877","165312","223207","195328","216900","276238","372011","437709","387833","378339","403776","609754","794580","967706.75","","",
"Mauritius","MUS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2500","2500","2800","2800","2800","3000","3000","3000","3300","4000","5400","5200","6600","6400","7679","7038","6660","7667","7108","6525","6348","7132","9780","9434","10346","12176","12849","17279","17117","16898","14098","18576","18861","20579","18145","16395","11869","14025","12093","12205","9615","10986","10706","11086","10371","10005","8681","8505","6871","7956","7366","7306","6502","7913","14755","15796","18211","24987","28314","","",
"Malawi","MWI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","13600","14300","19500","21700","21200","33900","32500","29300","32900","38200","47000","60000","70000","69300","70275","70986","74893","68186","67768","59953","65694","51319","58322","66863","64945","61892","73170","88793","80002","72854","75025","65094","69527","69987","60311","54614","64205","56740","41311","45591","50200","41875","41389","53844","56483","60232","73485","67787","73389","72430","101548","86015","131455","117621","118913","147889","164949","211295","234949","","",
"Malaysia","MYS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","147800","160100","179877","198200","192300","208500","246800","315100","353800","318800","307452","337219","326872","401900","473420","442196","481497","572564","629671","632290","614931","735722","675223","748723","735024.375","745432.375","770663.3125","864581.5625","828913.1875","891140.0625","957078.1875","916076.8125","1027695.75","1051134.125","1070416.5","1116860","1134374","1176462","1157268","1256049","1293956","1239235","1279775","1291428","1341221","1219322","1292167","1390074","1403373","1402090","1438317","1383315","1483168","1493793","1471209","1499610","1589586","1478783","1467021","","",
"North America","NAC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3834872","4086864","4283677","4140317","3979283","4118758","4032739","3825262","4073109","4053451","4376564","4367163","4060823","4070696","4057608","4032452","4377641","4471212","5068891","5214189","5272699","5365441","5561984","5623983","6103062","6241758.5","6472819","7411439","7557041","7299894.5","7529588.5","6934909","6874479.5","7006974.5","6967442.5","6363085","6464380","6660583","6351406","6482686","6163458","6549189","6721161","6762473","6903358","6757131","6730944","6458956","5790245","5574224","5730794","6469417","6237962","6566280","6416882","6371987","6409727","6435193.75","6252438","","",
"Namibia","NAM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","5000","5000","5000","5000","6500","6500","6500","6500","6550","7050","7850","8750","9050","9750","10250","10850","11650","12100","12900","13700","14923","32437","33395","21225","280007","226330","679782","826288","687504","591597","539788","539970","638256","606021","632532","593000","663738","672207","603170","618562","592935","448061","419937","426850","429705","457463","528079","542442","473026","546920","536903","512116","510568","","",
"New Caledonia","NCL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","400","400","800","1200","1000","1000","900","500","500","500","500","500","500","800","868","973","883","3042","2963","2629","3349","2448","3384","2958","3670","3358","4459","5243","3962","3230","4927","4309","3437","2904","3459","2894","3195.39990234375","2562.69995117188","3256.30004882813","3250.10009765625","3482.39990234375","3499","3457.89990234375","3552.5","3853","3467","3333","3704.69995117188","3919","3862","4027","3897","3790","3869","4063","4004","3822","3673","3076.77099609375","","",
"Niger","NER","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3400","4200","6000","9000","6300","5000","5000","3700","4300","3000","2400","5400","16400","16200","15050","9142","4715","7372","8783","8934","8892","8208","6840","3251","2991","1993","2337","2269","2479","4722","3318","3124","2456","2162","2516","3616","4156","6328","7013","11000","16250","20800","23560","55860","51466","50018","29835","29728","29960","29884","40000","53173","46500","45000","47000","27000","34592","25195","31042","","",
"Nigeria","NGA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","56505","52837","62869","63703","82740","94376","107016","116155","116696","112237","152090","241303","242211","246186","252706","251640","255498","256849","258506","262971","255265","253849","263156","265470","257414","237461","266117","254806","268883","274609","308981","252340","301327","238409","266202","349482","337993","387923","463024","455628","441377","452146","481056","475162","465251","523182","552323","530420","601368","598210","616981","635486","668754","721355","759828","710331","734731","916284","878155","","",
"Nicaragua","NIC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4000","4000","4000","5000","5000","5600","7000","8000","8700","9500","9800","9400","11200","13900","8689","10778","10513","13914","15900","9121","6996","5944","5000","4548","4339","4164","2465","4983","4654","4582","3088","20696","27155","17849","19572","13917","24515","15527","19111","20087","28959","20033","19558","15654","19668","28239","32198","27316","31446","37853","40978","33527","33784","40979","54279","41534","45023","50982","54554","","",
"Netherlands","NLD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","227881","262912","226328","272601","273482","266700","260600","228900","209700","217300","214800","225500","232100","230736","227142","238422","211669","203716","205951","226279","263460","370224","414496","442196","435742","438364","416381","412213","397246","421351","406244","407166","433066","461777","420170","438104","410846","451848","536658","514611","495776","518163","464036","526281","521736","555756","513331","487765","440291","386942","434457","370096","347265","327437","371369","384476","370249","500194","411725","","",
"Norway","NOR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1609362","1758413","1572913","1590281","1876034","2459647","3123804","3532712","2949754","2670206","3174896","3268731","3320112","3132936","2784478","2666846","3505372","3622323","2768928","2838467","2590721","2757933","2706242","2965073","2588549","2238292","2046531","2105840","1954589","1986048","1815439","2217405","2634287","2597625","2569570","2725343","2838765","3065340","3050677","2813066","2912914","2874716","2934446","2715529","2687989","2568736","2419512","2529299","2586996","2701745","2843873","2445602","2297476","2250138","2468734","2444245","2205387","2545579","2663874","","",
"Nepal","NPL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1300","1500","1500","1500","1600","1600","1600","1800","1800","1900","1832","1982","2003","1886","1799","1985","2138","2189","2315","2308","2221","2154","2359","2429","2863","5811","5281","5281","6975","5686","5288","5281","5895","7418","7340","11230","11230","11230","12000","12752","16700","16700","17900","18888","19947","19983","20016","20100","21500","21500","21500","21500","21500","21500","21500","21500","21500","21000","22070","","",
"Nauru","NRU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","120","120","120","130","130","140","140","140","140","150","150","150","170","170","180","180","190","377","500","500","480","460","440","420","400","380","360","342","342","300","330","370","420","475","530","589","540","492","523","530","530","530","530","530","","",
"New Zealand","NZL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","49850","50215","47250","48269","42796","46607","54118","59171","57851","49243","58803","64900","56168","64184","67502","63005","68979","77826","97889","117386","154365","167304","169149","195627","208002","202984","208170","240978","276817","316147","351706","386324","470274","433055","452612","556751","425444","648926","648045.125","600197","553473","569855","588662","550962","546103","545472","476809","494947","452645.3125","440033.40625","436758.375","430621","442222.5","444368.25","443107.15625","433774.875","425058","431784.40625","407833.90625","","",
"OECD members","OED","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","18677094","20012264","20685244","20892924.125","21706451.125","23083576.375","24736746.75","25662168","26643472","25765656","27460938","28584768","28360324","29034940","29779353","29189497","31240179","31265126","32102751.09375","32862383.71875","33876875.875","35645041.6484375","35511515.078125","36372630.6171875","38697743.515625","38396682.4375","40183838.7890625","40131348.3046875","42294199.0703125","42188365.796875","39129044.6875","37954486.6875","38477236.671875","37620530.15625","39030787.34375","38811565.40625","37803212.078125","37344788.8125","32779794.1484375","34286589.03125","33059663.546875","32865920.0234375","32516684.3671875","31242116.0078125","32047458.1328125","30946803.3125","30638700.3095703","29857580.8133545","28675494.3389893","27898013.9621582","27484536.84375","27789047.4527588","26499151.215332","26423477.6183472","26796204.6835938","25914694.3373108","24324769.4408875","25816221.6950073","25330785.0731201","","",
"Oman","OMN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","55000","55000","60000","60000","60000","65000","70000","70000","70000","70000","92000","114000","136000","158000","180000","198850","197984","175000","152000","129000","106000","83650","89376","108766","105200","101180","96353","136140","165676","119224","119783","116454","109218","105772","118572","139861","121618","118995","106171","108809","120434","129929","142674","138482","165016","157326","147668","151744","151910","158551","163927","158566","191563","206169","211037","257022","279606","347539","553445","","",
"Other small states","OSS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","668900","772756","888157","839684","1031504","1271466","1323819","983860","689511","788011","842314","791674","832982","1028797","1060773","1102981","1126057","1511619","1700843","1781636","1656301","1595078","939682","1000329.77099609","1716694","1871829","1842795.38793945","1842463","2379495","2101946","2340664.04003906","1818481.10009766","2602319","2937858","2630581","2606128","3007947","3190516","2776265","2830599","3116266","3088451","3434886","3210910","2945030","2932234","2511689.80004883","2360805","2218281","2097804.19995117","2048319.40002441","2103756.59997559","2466288.59997559","2431809.5","2064247.40002441","2418220.80004883","2187055","2307753.69995117","2398279.80004883","","",
"Pakistan","PAK","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","82647","79726","80367","92123","109088","121058","162802","164585","169037","183716","191124","188911","228962","246784","194561","200289","206779","269225","278829","286479","256642","285388","294111","334361","363514","399803","409466","407769","428087","427314","453787","491638","520641","587645","519193","508891","518782","574643","580088","640455","598743","540804","534670","499366","494829","449993","506473","453295","470665","459058","455514","454473","476195","484646","480123","509479","516356","536926","504810","","",
"Panama","PAN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","11000","11500","15300","14100","25900","39700","73100","72300","71900","36800","58890","78750","70156","114959","88762","116932","185334","239736","140067","166251","216631","144418","119023","166227","133507","290547","144731","162926","118674","182077","130299","164286","172900","192953","188449","205885","150653","163333","206478","122055","237846","288469","269600","244808","231224","269199","265816","225353","232853","240366","185635","171321","180058","201088","163832","145801","155939","153474","177438","","",
"Peru","PER","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3506151","5220102","6887601","6825241","9039766","7386689","8713866","10058345","10446862","9149805","12486134","10508873","4680182","2297519","4127638","3416501","4345281","2504569","3444145","3653304","2709438","2717338","3513301","1569198","3317428","4131506","5614630","4584138","6637579","6863142","6871261","6900535","7506756","9009177","12001264","8938007","9515370","7869879","4346073","8429086","10658832","7991767","8771970","6093926","9611947","9393502","7020939","7221332","7408317","6933455","4305975","8254957","4852760","5876493","3599056","4843860","3828751","4185193","7208409.5","","",
"Philippines","PHL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","438468","438472","468347","529446","583591","651125","695754","738783","887119","866669","1003265","1019893","1123104","1205799","1263017","1340107","1237784","1346972","1368839","1349283","1384972","1427772","1498411","1666095.375","1604856","1572100.75","1629213.5","1669434.375","1682873.375","1766680.375","1855254","1931308","1925203","1865030","1877028","1892447","1821779","1836100","1869950","1895192","1920492","1961989","2038379","2157093","2205295","2261540","2299043.5","2460871","2492829","2516236","2504223","2222363","2210329","2206217","2259149","2164440","2035233.5","1891570.875","2061266.75","","",
"Palau","PLW","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","500","600","600","1866","3370","3386","4106","5756","5462","8882","2943","2319","3150","7608","7069","6136","4883","10602","6699","7516","10276","5053","1041","1037","1204","1132","1187","1268","1347","1075","1092","1499","1236.63598632813","1085","1414.08996582031","1068.44995117188","911","951","960","1271","1084","1027","1047","1079","1430.90002441406","967","1141.81994628906","1168.19995117188","1034","967","1000.20001220703","905","887","864","848","818","812","760","","",
"Papua New Guinea","PNG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","12200","12200","13100","15200","15200","15800","15300","15400","15800","16500","15628","30668","27271","108492","120247","59438","80307","60744","90267","77588","78126","65811","47175","33954","44076","50763","54686","59986","49195","53885","61785","58561","44971","53484.68359375","56598.31640625","71885.65625","62840.4453125","87937.4296875","105812.546875","80880.3671875","134462.375","156608.875","169730.421875","203810.5625","294400.375","285405.46875","285826.6875","276469.15625","253855.5","261409.734375","259981.9375","202659.75","280989.375","237993.46875","279334.46875","273372.46875","331292.46875","336292","258611","","",
"Poland","POL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","175911","176822","173016","217937","254341","287757","324613","328215","394282","394942","459628","507249","531014","565133","665636","786442","736485","646861","569398","589349","630783","608898","596400","722833","700369","658198","626401","651648","628026","539444","448293","428627","481775","395406","438032","429372","342793","348913","242010","235724","217682","225064","223440","180399","192108","155247","145479","151820","142496","223893","189722","198308","198385","214170","191598","205428","218115","226396","222704","","",
"Pre-demographic dividend","PRE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1044222","1054754","1142486","1157420","1369957","1339893","1480291","1521406","1636507","1810616","1888117","1944901","2261716","2232902","2185875","1984557","1926100","2057982","2008386","1982014","1969396","2000123","2012178","2115656","2186101","2186997","2337999","2470920","2557174.3125","2635641.03125","2815213.1875","2600260.75","2773368.3125","2736184.34375","2689191.0625","2940792.75","2959525.13125","3107183.84375","3129897.38439941","3257573.94042969","3437043.90625","3462031.578125","3456368.828125","3677392.25","3893396.265625","4009464.5","3881404.5","4154048.5","4167845.5","4333957","4483493","4840397","5016522","5222145","5266394","5264895.25","5728733","6450870","6399882.75","","",
"Puerto Rico","PRI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3100","3100","3300","3300","2900","2800","2500","2500","2200","2200","2100","2200","2100","2000","2000","2275","2663","2881","3197","3597","2557","1784","2202","2655","2354","1496","1327","1191","1611","1867","1949","2115","2046","2162","2583","3749","3043","3672","3785","3799","5454","5043","3237","3786","3342","3561","2806","2305","2423","2312","2593","2024","1861","2002","2057","2148","1901","1606","1649","","",
"Korea, Dem. People's Rep.","PRK","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","299190","341100","347000","364900","361000","385000","412000","437000","449000","446000","385000","428000","468000","474000","550000","572000","630000","615000","946000","914000","853000","1046000","1057000","739000","752000","740000","773000","954000","732000","767000","478000","377000","363000","397398","371961","327083","253125","236462","228000","220000","212850","206500","205000","205000","205000","205000","205000","205000","205000","207000","217500","219000","213500","209000","226000","220000","209000","208700","208700","","",
"Portugal","PRT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","490387","517910","533968","559026","602540","566672","523273","583548","527698","480566","477830","454014","458690","492539","442676","387972","352558","313846","259685","250939","275852","269038","259194","253356","305309","321517","402853","386701","343260","331481","332692","330855","300482","295781","270130","267814","265434","227807","228792","212607","192120","194464","203418","212821","222563","221086","229838","256683","224481","199165","223546","216159","198738","196558","183664","190100","186545","182615","178270","","",
"Paraguay","PRY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","600","600","600","700","700","700","700","800","1000","1400","1800","2200","2500","2700","2700","2800","2900","3000","3100","3200","3300","3350","3400","3500","5000","7500","13000","10000","10000","11000","12490","12990","17925","19000","25466","40793","22725","28503","32445","28000","37750","28793","32573","27809","22600","21800","21000","20200","19400","18600","17800","17000","18873","28231","19839","19294","15100","13399.9970703125","12999.998046875","","",
"West Bank and Gaza","PSE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1229","2493","3791","3625","3650","2623","1950","2379","1507","2951","1814","2323","2702","2843","1525","1699","1318","2091","1930","2854","3227","3306","3208","3201","","",
"Pacific island small states","PSS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","15200","15400","17500","18000","19766","21870","25686","26706","28656","28362","35182","34554","38524","38577","47399","44926","54386","52724","66601","81755","84796","92207","86886","105227.59375","106879.73828125","112148.99609375","141368.787109375","141527.71484375","143361.0703125","147740.08984375","151076.125","184251.158203125","171454.912109375","168289.671142578","184485.296875","202084.49230957","181323.899169922","216329.49609375","235405.203125","270242.59765625","214663.33203125","210656.361328125","229129.544921875","311500.01953125","425499.95703125","444343.040649414","415710.66015625","431517.202758789","356709.899169922","361957.89453125","343063.15625","364661.860168457","380902.57421875","365283.28125","453493.515625","521918.984375","500160.4609375","466202","545043","","",
"Post-demographic dividend","PST","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","17270562","18383306","18774363","18768252.125","18951084.125","20498014.375","21384234.75","22837842","23843532","23193797","24664587","25513778","25806168","26407024","26682207","26098841","27693318","27411976","27149557.09375","26788622.71875","27379345.875","28131609.6484375","28536346.078125","29248421.4667969","30283661.4746094","29421824.5488281","30489821.921875","31014609.8125","32713188.828125","31668161.34375","30032166.515625","28543343.40625","28143411.046875","27187774.6015625","26726537.5","26085677.2880859","25750669.8710938","26271583.4296875","25030932.078125","24351162.8242188","23525547.4160156","23687609.6484375","22851011.03125","22512807.0429688","22139955.8945313","21827668.9023438","21669871.1923828","21187253.946167","20531626.7921143","19994178.5871582","20268813.1445313","20115466.8902588","19044375.1450195","19623699.8370972","20169390.0585938","19677663.3529358","18767404.6908875","19498462.8512573","19116894.1590576","","",
"French Polynesia","PYF","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2600","2700","3000","2500","2500","1900","2100","2000","2100","2300","2300","2200","2400","2600","2386","2169","2826","2701","2991","2479","2741","2685","2658","2284","2867","2359","2232","2271","2794","3144","4216","3992","3775","7931","8519","8889","9631","11519.1337890625","12410","12283","13894.3203125","15189","15287.890625","13604","12306","11589","12778","13177","12284","13374","13044","12852","14387","14533","15307","14180","13754","13038","13025","","",
"Qatar","QAT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","800","800","1000","1000","1000","1300","1300","1500","1500","1500","1500","1500","2000","2200","2047","1989","2400","2433","2200","2200","2178","2604","2331","2114","3173","2484","1980","2678","3086","4374","5702","8136","7845","6994","5086","4271","4739","5032","5279","4397","7140","8864","7155","11295","11134","13935","16376","15190","17688","14064","13760","12985","11275","12006","16213","15203","14516","15358","14669","","",
"Romania","ROU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","24300","24400","19700","22600","19990","23731","22633","30666","26492","30597","43959","50252","55579","74218","95909","104308","89824","115559","102346","144536","138930","152997","191992","210427","187333","195223","223582","224188","216938","177550","92784","95473","70761","13819","22251","49275","18259","8446","9061","7843","7372","7609","6980","9890","5095","6053","6663","6183","5410","4020","2688","3254","3960","5218","6248","9307","12728","14998","11179","","",
"Russian Federation","RUS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8190025","8203311","7532160","6864964","5562227","4482207","3793972","4376640","4744407","4738463","4516052","4217889","4077611","3686491","3291036","3339831","2968363","3236386","3319235","3497246","3411736","3838545","4081092","4268684","4343101","4370871","4269502","4468629","4777078","4884529","5125654","","",
"Rwanda","RWA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","500","500","500","700","700","700","800","800","800","900","900","800","1000","1368","1198","1008","1325","715","954","1200","955","1210","1212","786","906","1485","1630","1290","1472","2350","3503","3644","3500","3400","3300","2952","4428","6641","6433","6726","6828","7000","7400","7826","6816","7711","9186","11587","11552","13000","16994","18980","22390","25159","29334","25013","25000","23977","","",
"South Asia","SAS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1613240","1464966","1536046","1611008","1965853","2018693","2097117","2127431","2312518","2397928","2582233","2690022","2590484","2918849","3150519","2960669","2879459","3054239","3048736","3060453","3117850","3127403","3055680","3225717.5","3521540","3494361.5","3628940","3504551","3675936","4096054","4239531","4386868","4453085.078125","4831210.890625","4996138.671875","5010905.921875","5255157.3125","5416380.84375","5307385.875","5600215.6875","5763306.59375","5839044","5877590","5894220.1875","5620971.40625","5933166","6305756","6308316","6637383","6851904","7433413","6963216","7525654","7348138","7753518","7648454","8062345","8565331","8404608","","",
"Saudi Arabia","SAU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","10000","16200","18300","19600","17700","18600","20200","22100","21100","22000","21700","22300","23800","26400","23600","23000","23300","22800","24950","24460","24775","28570","31820","35300","38490","43696","45498","47748","45732","47150","40630","40289","45910","48022","54612","45692","47709","49395","51291","46700","49080","55331","57211","55440","55418","60421","65485","66221","68898","67664","65145","64481","65170","71946","68660","68130","68082","68000","68776","","",
"Sudan","SDN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","17100","18000","19500","19900","20100","20000","20500","20500","22000","22300","22200","22200","22200","22600","22600","22600","24700","23570","26610","28520","26060","28530","29710","29500","29780","26290","23942","27200","29200","30200","31500","33113","35023","40014","44013","44003","45009.6","47010","49513","49513.5","53010","58007.5","57007.5","59007.5","63007.5","59007.5","57007.5","65516.5","68602.5","71698","71358","71008","34008","33708","33508","33008","35502","38390","41041","","",
"Senegal","SEN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","76200","82600","85900","87500","97600","106600","111700","118076","114976","118981","120965","134482","152839","192841","218010","226512","217582","216550","221096","225146","232381","227080","231847","262960","250320","244946","257904","251921","264966","290339","315154","328731","373380","386132","359887","366312","439209","483468","429531","440926","436005","431252","398040","469284","434525","399848","368390","412360","428299","446200","409715","427134","462105","471432","458609","425444","474169","534868","484750","","",
"Singapore","SGP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","9200","9700","11500","12500","10400","11000","18500","18200","17300","17000","18300","15200","15600","18500","19236","17560","16397","15105","16110","16868","15991","16022","19076","19267.599609375","25140.599609375","22692.900390625","20157","15053","13281","13532","12991","11734","10163","9590","11602","11106","10354","9546","8149","6839","5852","4383","3827","3159","3309","3250","4815","5175","3500","3207","2949","3277","5762","4504","4412","3236","6973","1260","1555","","",
"Solomon Islands","SLB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4000","4000","5000","5000","5300","5300","7300","7400","7400","7400","8500","13511","17005","15924","19676","16940","26284","22863","29192","35431","34866","34728","32518","46014.59375","48801.73828125","43362.99609375","56743.38671875","43556.21484375","51902.0703125","50145.7890625","41404.35546875","63005.77734375","47107.7109375","43623.03515625","47509.296875","64181.40234375","52445.44921875","61289.49609375","60726.59375","54557.59765625","19564.33203125","24538.361328125","26252.544921875","36699.21875","35045.671875","30171.140625","39525.66015625","32150.1796875","27457.69921875","28652.59765625","37544.65625","38720.16015625","38892.07421875","36708.8828125","73734.3125","72996.984375","65994.359375","56892","61636","","",
"Sierra Leone","SLE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","20000","22800","26000","28100","29900","32600","32200","33600","23500","25500","31050","31150","51128","67467","68954","68873","55569","55547","52457","57592","48988","49860","51935","50086","51667","52421","52213","52106","52173","52107","56536","65741","68510","66288","62439","64870","67304","72628","63065","59407","74730","75210","82990","95926","132440","142993","144146","139535","197582","199000","200000","202000","203500","205000","206477","202100","202100","202100","202100","","",
"El Salvador","SLV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","7300","8000","8200","8400","9200","9600","10600","9900","10200","10300","11100","10700","10400","12400","9654","8730","7201","6368","9540","12738","13958","20770","12916","7603","12179","15422","19686","20744","11015","9926","8527","11210","12076","12451","13559","15072","14433","11897","10978","9915","9590","19609","35943","35484","42415","41114","43218","54664","53287","48424","39583","54281","49414","51723","63211","50441","54084","51281","53697","","",
"San Marino","SMR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Somalia","SOM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4500","4500","4500","4500","4500","4600","4600","4700","5000","5000","5600","5700","5801","5902","5982","10352","8268","9830","8384","10984","14330","9823","9030","11495","19939","16767","18655","19996","20327","21546","23195","23800","25750","27750","29850","32400","30200","28000","25800","28650","24150","31900","29000","30000","30000","25000","30000","30000","30000","30000","30000","30000","30000","30000","30000","30000","30000","30000","30000","","",
"Serbia","SRB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2632","2535","3153","3846","4807","5384","4798","5040","3593","3150","2067","2209","2082","","",
"Sub-Saharan Africa (excluding high income)","SSA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1972445","2144006","2294433","2428989","2808872","2853726","3013181","3422261","3939411","3926733","3441752","3491622","3827400","3978275","3969209","3759015","3463245","3451604","3426553","3314255","3149519","3243163","3246138","3420203","3305799","3379275","3578691","4420743","4355561.3125","3996071.03125","4123755.22753906","3805928.85009766","4690013.3125","4656790.34375","4369936.0625","4591359.75","4535347.13125","4759095.84375","4930083.38439941","5142960.94042969","5381982.90625","5460937.578125","5480335.828125","5763970.25","6007953.265625","5998705.5","5623375.5","5756839.5","5781666.5","5765753","6116891","6401054","6869239","6792278","7019326","7067017.25","7515518","8166182","8148341.75","","",
"South Sudan","SSD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37000","37000","37000","37000","35000","33000","32000","","",
"Sub-Saharan Africa","SSF","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1974245","2146006","2296433","2430989","2810872","2855726","3015681","3424761","3941911","3929233","3444752","3494622","3830400","3981275","3972709","3762965","3467255","3456204","3431953","3319212","3154195","3248384","3250183","3424141","3309533","3383393","3583233","4424643","4359904.3125","4000483.03125","4129192.22753906","3814078.85009766","4696676.3125","4661968.34375","4374405.0625","4595367.75","4540054.13125","4773138.84375","4953969.38439941","5177183.94042969","5414760.90625","5514528.578125","5543718.828125","5849990.25","6108624.265625","6107385.5","5716114.5","5822353.5","5850865.5","5846867","6204002","6476535","6937926","6866405","7094442","7172001.25","7642646","8308947","8293955.75","","",
